"elementId","contextId","unitId","fact","decimals","factId","ns","roles","scheme","identifier","startDate","endDate","dimension1","value1","dimension2","value2","dimension3","value3","dimension4","value4"
"us-gaap_ImpairedFinancingReceivableWithRelatedAllowanceRecordedInvestment","I2012_MortgagesNonImpairedMember","USD","147000000","-6","Tag1267","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ImpairedFinancingReceivableWithRelatedAllowanceRecordedInvestment","I2013_MortgagesNonImpairedMember","USD","81000000","-6","Tag1268","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ImpairedFinancingReceivableWithNoRelatedAllowanceRecordedInvestment","I2012_MortgagesNonImpairedMember","USD","8000000","-6","Tag1269","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ImpairedFinancingReceivableRecordedInvestment","I2012_MortgagesNonImpairedMember","USD","155000000","-6","Tag1270","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ImpairedFinancingReceivableRecordedInvestment","I2013_MortgagesNonImpairedMember","USD","81000000","-6","Tag1271","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableAllowanceForCreditLosses","I2013_MortgagesNonImpairedMember","USD","21000000","-6","Tag1272","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_FinancingReceivableAllowanceForCreditLosses","I2012_MortgagesNonImpairedMember","USD","42000000","-6","Tag1273","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13,DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051",NA,"2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","all:MortgagesNonImpairedMember",NA,NA,NA,NA,NA,NA
"us-gaap_ImpairedFinancingReceivableAverageRecordedInvestment","D2013_MortgageReceivablesMember","USD","88000000","-6","Tag1274","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2013-01-01","2013-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","us-gaap:MortgageReceivablesMember",NA,NA,NA,NA,NA,NA
"us-gaap_ImpairedFinancingReceivableAverageRecordedInvestment","D2012_MortgageReceivablesMember","USD","202000000","-6","Tag1275","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2012-01-01","2012-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","us-gaap:MortgageReceivablesMember",NA,NA,NA,NA,NA,NA
"us-gaap_ImpairedFinancingReceivableAverageRecordedInvestment","D2011_MortgageReceivablesMember","USD","210000000","-6","Tag1276","http://fasb.org/us-gaap/2013-01-31","DisclosureInvestmentsDetails13","http://www.sec.gov/CIK","0000899051","2011-01-01","2011-12-31","us-gaap:AccountsNotesLoansAndFinancingReceivableByReceivableTypeAxis","us-gaap:MortgageReceivablesMember",NA,NA,NA,NA,NA,NA
